service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20170815,20171001
2,0,0,0,0,0,1,0,20170815,20171001
3,0,0,0,0,0,0,1,20170815,20171001
4,1,1,1,1,1,0,0,20170815,20171001
5,1,1,1,1,1,0,0,20170815,20171001
6,0,0,0,0,0,1,0,20170815,20171001
7,0,0,0,0,0,1,0,20170815,20171001
8,0,0,0,0,0,0,1,20170815,20171001
9,0,0,0,0,0,0,1,20170815,20171001
10,1,1,1,1,1,0,0,20170815,20171001
11,0,1,0,0,0,0,0,20170815,20171001
12,1,1,1,1,1,0,0,20170815,20171001
13,0,0,1,0,0,0,0,20170815,20171001
14,0,0,0,1,1,0,0,20170815,20171001
15,0,0,0,0,0,1,0,20170815,20171001
16,0,0,0,0,0,1,0,20170815,20171001
17,0,0,0,0,0,0,1,20170815,20171001
18,1,1,1,1,1,0,0,20170815,20171001
19,0,0,0,0,0,1,0,20170815,20171001
20,1,1,1,1,1,0,0,20170815,20171001
21,0,1,1,1,1,0,0,20170815,20171001
22,0,0,0,0,0,1,0,20170815,20171001
23,0,0,0,0,0,0,1,20170815,20171001
24,0,0,0,0,1,0,0,20170815,20171001
25,0,0,1,0,0,0,0,20170815,20171001
26,1,1,0,1,0,0,0,20170815,20171001
27,1,1,1,1,0,0,0,20170815,20171001
28,1,0,1,0,1,0,0,20170815,20171001
29,0,1,0,1,0,0,0,20170815,20171001
30,0,0,0,0,1,0,0,20170815,20171001
31,0,1,0,1,0,0,0,20170815,20171001
32,0,1,1,1,0,0,0,20170815,20171001
33,0,0,1,0,1,0,0,20170815,20171001
34,0,1,1,0,0,0,0,20170815,20171001
35,1,1,1,1,1,0,0,20170815,20171001
36,1,0,1,1,1,0,0,20170815,20171001
37,0,0,0,0,1,0,0,20170815,20171001
38,1,1,1,0,1,0,0,20170815,20171001
39,0,0,0,1,0,0,0,20170815,20171001
40,0,0,0,0,0,1,0,20170815,20171001
41,0,0,0,0,0,0,1,20170815,20171001
42,0,0,0,0,0,1,0,20170815,20171001
43,0,0,0,0,0,0,1,20170815,20171001
44,1,1,1,1,0,0,0,20170815,20171001
45,0,1,0,0,0,0,0,20170815,20171001
46,0,1,0,1,0,0,0,20170815,20171001
47,1,0,1,0,0,0,0,20170815,20171001
48,0,1,1,0,1,0,0,20170815,20171001
49,0,1,1,0,0,0,0,20170815,20171001
50,1,0,0,1,1,0,0,20170815,20171001
51,1,0,0,0,1,0,0,20170815,20171001
52,1,0,0,1,0,0,0,20170815,20171001
53,0,1,0,0,1,0,0,20170815,20171001
54,1,0,0,0,0,0,0,20170815,20171001
55,1,1,0,1,1,0,0,20170815,20171001
56,0,0,0,1,1,0,0,20170815,20171001
57,1,1,0,0,0,0,0,20170815,20171001
58,1,1,0,1,0,0,0,20170815,20171001
59,0,1,1,1,1,0,0,20170815,20171001
60,1,1,1,1,1,0,0,20170815,20171001
61,0,1,1,0,1,0,0,20170815,20171001
62,1,0,0,1,0,0,0,20170815,20171001
63,1,1,0,1,1,0,0,20170815,20171001
64,0,0,1,0,0,0,0,20170815,20171001
65,0,1,0,1,0,0,0,20170815,20171001
66,0,0,1,0,1,0,0,20170815,20171001
67,1,0,0,0,0,0,0,20170815,20171001
68,0,1,1,1,1,0,0,20170815,20171001
69,1,1,1,0,1,0,0,20170815,20171001
70,1,0,1,1,1,0,0,20170815,20171001
71,0,0,1,1,0,0,0,20170815,20171001
72,1,0,0,0,1,0,0,20170815,20171001
73,0,1,1,1,0,0,0,20170815,20171001
74,1,0,1,0,1,0,0,20170815,20171001
75,0,0,1,0,1,0,0,20170815,20171001
76,0,0,0,0,0,1,0,20170815,20171001
77,0,0,0,0,0,1,0,20170815,20171001
78,0,0,0,0,0,0,1,20170815,20171001
79,0,0,0,0,0,0,1,20170815,20171001
80,1,0,1,1,0,0,0,20170815,20171001
81,1,1,1,0,0,0,0,20170815,20171001
82,0,1,0,1,1,0,0,20170815,20171001
83,1,1,0,0,1,0,0,20170815,20171001
84,0,0,1,1,0,0,0,20170815,20171001
85,0,0,1,1,1,0,0,20170815,20171001
86,0,1,1,1,0,0,0,20170815,20171001
87,1,1,1,1,1,0,0,20170815,20171001
88,0,0,0,0,0,1,0,20170815,20171001
89,0,0,0,1,0,0,0,20170815,20171001
90,1,1,1,1,1,0,0,20170815,20171001
91,1,1,1,1,1,0,0,20170815,20171001
92,0,0,0,0,0,1,0,20170815,20171001
93,0,0,0,0,0,1,0,20170815,20171001
94,0,0,0,0,0,0,1,20170815,20171001
95,0,0,0,0,0,0,1,20170815,20171001
