route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1,RT,"1","Helsfyr - Frognerseteren",1,,FFFFFF,000000
2,RT,"2","Ellingsrudåsen - Østerås",1,,FFFFFF,000000
3,RT,"3","Mortensrud - Kolsås",1,,FFFFFF,000000
4,RT,"4","Bergkrystallen - Vestli",1,,FFFFFF,000000
5,RT,"5","Vestli - Sognsvann",1,,FFFFFF,000000
11,RS,"11","Kjelsås - Jernbanetorget/Majorstuen",0,,FFFFFF,000000
12,RS,"12","Kjelsås - Majorstuen",0,,FFFFFF,000000
13,RS,"13","Storo-Grefsen stasjon/Disen - Bekkestua",0,,FFFFFF,000000
17,RS,"17","Holbergs plass - Rikshospitalet",0,,FFFFFF,000000
18,RS,"18","Ljabru - Jernbanetorget/Bjørvika",0,,FFFFFF,000000
19,RS,"19","Ljabru - Majorstuen",0,,FFFFFF,000000
20,RB,"20","Galgeberg - Skøyen",3,,FFFFFF,000000
21,RB,"21","Helsfyr T - Tjuvholmen",3,,FFFFFF,000000
23,RB,"23","Simensbråten - Lysaker",3,,FFFFFF,000000
24,RB,"24","Brynseng T - Fornebu",3,,FFFFFF,000000
25,RB,"25","Lørenskog stasjon - Majorstuen",3,,FFFFFF,000000
28,RB,"28","Helsfyr T - Fornebu",3,,FFFFFF,000000
30,RB,"30","Nydalen - Bygdøy",3,,FFFFFF,000000
31,RB,"31","Grorud T/Tonsenhagen - Snarøya/Fornebu",3,,FFFFFF,000000
32,RB,"32","Kværnerbyen - Voksen skog",3,,FFFFFF,000000
33,RB,"33","Ellingsrudåsen T - Filipstad",3,,FFFFFF,000000
34,RB,"34","Ekeberg hageby - Tåsen",3,,FFFFFF,000000
36,RB,"36E","Oslo bussterminal - Fornebu",3,,FFFFFF,000000
37,RB,"37","Helsfyr - Nydalen T",3,,FFFFFF,000000
41,RB,"41","Røa T - Sørkedalen",3,,FFFFFF,000000
45,RB,"45","Majorstuen - Voksen skog",3,,FFFFFF,000000
46,RB,"46","Majorstuen - Ullerntoppen",3,,FFFFFF,000000
51,RB,"51","Nydalen T - Maridalen",3,,FFFFFF,000000
54,RB,"54","Tjuvholmen - Kjelsås stasjon",3,,FFFFFF,000000
56,RB,"56","Solemskogen - Nydalen",3,,FFFFFF,000000
58,RB,"58","Tveita T - Nydalen",3,,FFFFFF,000000
60,RB,"60","Tonsenhagen - Vippetangen",3,,FFFFFF,000000
61,RB,"61A","Solfjellet - Tveita T",3,,FFFFFF,000000
62,RB,"62","Grorud T- Grorud T ",3,,FFFFFF,000000
63,RB,"63","Grorud T- Grorud T ",3,,FFFFFF,000000
