route_id,service_id,trip_id,trip_headsign,direction_id
1,1,300011509,"Frognerseteren",1
1,1,300011513,"Helsfyr",0
1,1,300011514,"Frognerseteren",1
1,1,300011518,"Helsfyr",0
1,1,300011519,"Frognerseteren",1
1,1,300011521,"Bergkrystallen",0
1,1,300011523,"Frognerseteren",1
1,1,300011528,"Bergkrystallen",0
1,1,300011530,"Bergkrystallen",0
1,1,300011534,"Frognerseteren",1
1,1,300011535,"Bergkrystallen",0
1,1,300011539,"Frognerseteren",1
1,1,300011541,"Frognerseteren",1
1,1,300011542,"Bergkrystallen",0
1,1,300011545,"Frognerseteren",1
1,1,300011546,"Bergkrystallen",0
1,1,300011549,"Frognerseteren",1
1,1,300011550,"Bergkrystallen",0
1,1,300011553,"Frognerseteren",1
1,1,300011554,"Bergkrystallen",0
1,1,300011557,"Frognerseteren",1
1,1,300011558,"Bergkrystallen",0
1,1,300011561,"Frognerseteren",1
1,1,300011562,"Bergkrystallen",0
1,1,300011565,"Frognerseteren",1
1,1,300011566,"Bergkrystallen",0
1,1,300011569,"Frognerseteren",1
1,1,300011570,"Bergkrystallen",0
1,1,300011573,"Frognerseteren",1
1,1,300011574,"Bergkrystallen",0
1,1,300011577,"Frognerseteren",1
1,1,300011578,"Bergkrystallen",0
1,1,300011581,"Frognerseteren",1
1,1,300011582,"Bergkrystallen",0
1,1,300011585,"Frognerseteren",1
1,1,300011586,"Bergkrystallen",0
1,1,300011589,"Frognerseteren",1
1,1,300011590,"Bergkrystallen",0
1,1,300011593,"Frognerseteren",1
1,1,300011594,"Bergkrystallen",0
1,1,300011597,"Frognerseteren",1
1,1,300011598,"Bergkrystallen",0
1,1,300011601,"Frognerseteren",1
1,1,300011602,"Bergkrystallen",0
1,1,300011605,"Frognerseteren",1
1,1,300011606,"Bergkrystallen",0
1,1,300011609,"Frognerseteren",1
1,1,300011610,"Bergkrystallen",0
1,1,300011613,"Frognerseteren",1
1,1,300011614,"Bergkrystallen",0
1,1,300011617,"Frognerseteren",1
1,1,300011618,"Bergkrystallen",0
1,1,300011621,"Frognerseteren",1
